id;question;ANALYSEUR;EMPATHIQUE;PERSÉVÉRANT;ENERGISEUR;PROMOTEUR;IMAGINEUR
base1;Quand vous étiez enfant, on vous aurait plutôt décrit comme :;Curieux et méthodique — vous aimiez comprendre comment les choses fonctionnent.;Sociable et attentionné — vous aviez besoin de vous sentir aimé et intégré.;Déterminé et convaincu — vous aviez vos opinions et vous les défendiez.;Joueur et agité — vous vous ennuyiez vite et aviez besoin de bouger.;Compétiteur et audacieux — vous aimiez gagner et vous mesurer aux autres.;Calme et rêveur — vous passiez du temps seul dans vos pensées.
base2;Votre entourage dit que vous êtes :;Quelqu'un de très organisé et logique.;Quelqu'un de très attentionné et à l'écoute.;Quelqu'un de très fiable et engagé.;Quelqu'un de très créatif et spontané.;Quelqu'un qui obtient des résultats et va au bout des choses.;Quelqu'un de très calme et réfléchi.
base3;Lors d'une réunion, ce que vous préférez :;L'ordre du jour, les chiffres et les faits.;La cohésion et l'ambiance du groupe.;Le respect des engagements pris.;La créativité et les échanges fun.;L'efficacité et les décisions rapides.;Les concepts clés et la vision d'ensemble.
base4;Quand vous racontez quelque chose, vous :;Structurez ce que vous dites, avec des faits et des détails précis.;Adaptez votre façon de raconter à ce que l'autre ressent et à ce qu'il comprend.;Glissez naturellement votre point de vue sur ce qui était bien ou mal dans la situation.;Cherchez à faire réagir — vous aimez que les gens rient ou soient surpris.;Racontez avec assurance, en mettant en avant ce qui impressionne ou ce qui a bien marché.;Partez dans plusieurs directions avant d'en venir au fait.
base5;Pour vous, une journée de travail réussie au cabinet, c'est :;Avoir une bonne journée bien productive, toutes les tâches prévues sont terminées.;Avoir partagé des moments chaleureux et agréables avec mes collègues ou clients.;Avoir tenu mes engagements et bien fait mon travail, sans faire de compromis sur la qualité.;Avoir vécu une journée fun et animée, avec des moments drôles et des anecdotes à raconter.;Avoir relevé un défi ou saisi une nouvelle opportunité.;Avoir pu travailler tranquillement, sans être sans cesse interrompu.
base6;Dans une équipe, vous êtes celui ou celle qui :;Définit le planning, les étapes et l'organisation.;Veille à ce que tout le monde se sente bien et soit écouté.;Celui ou celle qui s'assure que le travail est bien fait et les engagements tenus.;Apporte l'énergie, les idées nouvelles et la bonne humeur.;Pousse à avancer, prend les décisions et fait bouger les choses.;Prend du recul, réfléchit en profondeur et apporte une vision d'ensemble.
base7;Lorsque vous écoutez quelqu'un, vous :;Cherchez surtout à comprendre les faits et la logique de son raisonnement.;Êtes attentif aux émotions et au ressenti exprimé.;Donnez votre opinion ou votre avis sur ce que vous entendez.;Réagissez spontanément et interagissez facilement à son récit.;Identifiez quelle action ou décision doit être faite.;Prenez du temps pour intégrer les informations avant de répondre.
base8;Pour motiver un collaborateur, vous :;Lui donnez des objectifs chiffrés et un cadre précis et évaluez son travail.;Le félicitez pour ce qu'il est et lui témoignez votre confiance.;Lui montrez en quoi son travail a du sens et compte vraiment.;Misez sur le jeu, une mise au défi amusante ou une mission originale.;Lui proposez une récompense concrète liée à sa performance.;Le laissez s'organiser à son rythme, sans le surveiller.
base9;Quand vous êtes en désaccord avec un collègue sur une méthode, vous :;Exposez les arguments factuels qui soutiennent votre position.;Cherchez un terrain d'entente pour préserver la relation avant tout.;Défendez votre point de vue avec conviction, car vous pensez avoir raison.;Exprimez votre désaccord franchement, avec animation, parfois un peu fort.;Tranchez rapidement pour ne pas perdre de temps.;Prenez du recul et attendez d'avoir bien réfléchi avant de vous exprimer.
base10;Face à une décision urgente, vous avez tendance à :;Analyser les faits et les données.;Privilégier le ressenti des personnes concernées.;Vérifier la cohérence avec vos principes et vos valeurs.;Vous reposer sur votre instinct.;Vous orienter sur ce que ça va rapporter concrètement et l'opportunité que ça représente.;Prendre du temps seul avant de répondre.
base11;Ce qui vous met le plus à l’aise dans une discussion :;Un échange structuré, précis et centré sur les faits.;Un climat bienveillant où chacun peut s’exprimer librement.;Un débat d’idées où l’on peut défendre ses convictions.;Un échange spontané, détendu et fun.;Une discussion orientée vers la décision et l’action.;Un moment calme où l’on peut réfléchir avant de répondre.
